ID,ID in paper,CAS,SMILES,Hydrogen evolution rate / µmol/h,EA* / V,EA / V,Sr / a.u.,Δσ / Å,H(CT) / Å,D(Δ) / a.u.,E(exciton binding) / eV,E(solvation) / eV,E(binding) / eV,S1-S0 / eV,S1-T1 / eV,pos_0,pos_1,group,fps_cluster,fps_pos0,fps_pos1,b3lypsoap_pos0,b3lypsoap_pos1,b3lyp_cluster,dft_pos0,dft_pos1,dft_cluster,num_rotatable_bounds,b3lypsoapval_pos0,b3lypsoapval_pos1
766,543,957344-74-0,Brc1ncc(Br)n2ccnc12,0.006749083,1.589219606,-2.541880394,0.77424,-0.175,1.524,1.6606,0.446087194,-0.233097166,-0.527230838,4.1311,1.370052492,0.86541975,2.4567857,4,2,8.92147,9.482806,0.22324939,8.929369,3,3.4225907,4.5448694,5,,-0.8371035,7.18486
767,544,96606-37-0,N#Cc1c(F)cc(F)cc1F,0.052740073,2.178487526,-2.835712474,0.87443,0.239,1.507,0.8132,0.818436956,-0.199189029,-0.270067129,5.0142,1.491148437,1.1402422,0.8875476,4,2,10.862996,8.942329,0.36167893,6.57694,3,1.5359206,3.8689022,5,,0.444235,5.533289
768,545,97483-77-7,N#Cc1ccc(Br)cn1,0,2.246420671,-2.400879329,0.47365,0.412,1.126,1.9553,0.612095982,-0.241457294,-0.298853086,4.6473,0.90853551,0.54402554,2.8224196,4,3,7.3744893,10.66617,-0.2472699,8.481342,4,3.3917665,3.3703525,5,,-1.2921137,6.664995
769,546,98041-67-9,S=C=Nc1cc(Br)ccc1Br,0,1.642276001,-2.617523999,0.71891,-0.429,2.028,0.6613,0.395010965,-0.119618698,-0.476267052,4.2598,1.011311502,1.7190199,2.4444985,4,2,9.417022,10.15175,1.238531,8.4957485,3,-1.2639948,5.347432,1,,0.53149194,6.903622
770,547,98057-08-0,Brc1ccc(-c2ccc(-c3ccc(Br)s3)s2)s1,0,0.558552959,-2.273347041,0.82614,-0.295,1.07,0.085,0.216022475,-0.148500227,-0.792890507,2.8319,1.072957342,4.078769,2.4904845,1,3,5.497775,8.573467,1.743508,7.9595275,4,-0.3611134,7.015287,4,,1.3743888,6.4169016
771,548,98139-15-2,N#Cc1cc(N)ccn1,0,1.413352237,-2.961947763,0.65641,0.211,1.57,3.4245,0.586994356,-0.410940155,-0.354945219,4.3753,1.003890028,4.0270653,-1.0807427,3,3,7.428852,11.2537565,6.7293572,5.485561,4,7.021451,4.9052825,2,,5.7009654,3.8725097
772,549,98327-87-8,c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1,0,0.85447787,-2.88712213,0.67759,-0.199,1.872,3.4472,0.323796792,-0.38859097,-0.765062304,3.7416,0.124431833,8.410802,1.9924439,2,1,0.304804,10.1203375,7.0647554,9.180926,2,7.2988753,4.434804,3,,5.5794144,8.125913
773,550,98349-22-5,N#Cc1cc(F)c(F)cc1F,0.05820281,2.067342105,-2.743457895,0.83718,0.122,1.577,0.8005,0.7028689,-0.199531646,-0.245856251,4.8108,1.488525921,1.1335816,0.8849762,4,2,10.74941,8.940129,0.37703925,6.5998836,3,1.6424872,3.9208202,5,,0.42740384,5.498014
774,551,98434-44-7,O=C(O)Cc1ccc(Br)cc1Br,0,1.42896896,-3.63073104,0.90195,-0.355,1.326,0.6416,0.870940521,-0.258775109,-0.358614363,5.0597,0.638455739,2.8496823,3.459988,4,2,9.670152,10.172554,2.1351318,10.307806,3,2.5325174,7.043476,4,,1.0119543,9.082782
776,552,99163-12-9,O=Cc1ccc(-c2ccncc2)cc1,3.291133496,1.462437465,-2.229562535,0.47738,1.148,1.66,3.221,0.908545265,-0.263370227,-0.417262006,3.692,0.663044522,5.285384,0.8706498,3,1,3.3523397,9.94299,4.2317944,7.1634946,2,11.51786,4.8551154,3,,4.001579,5.531957
777,553,992-04-1,c1ccc(-c2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,0,1.001081857,-3.409918143,0.92464,-0.002,1.252,0.0066,0.662919136,-0.375219065,-0.543712235,4.411,0.821409009,8.506593,2.0614903,2,1,0.40494707,10.219531,7.0539165,9.143276,2,1.9553661,7.523767,4,,5.4940863,8.142049
